,temp
210,마포구 서교동
214,마포구 연남동
19,중구 명동
364,강남구 역삼1동
204,서대문구 신촌동
7,종로구 종로1·2·3·4가동
18,중구 회현동
44,용산구 청파동
40,용산구 이태원1동
34,용산구 남영동
22,중구 광희동
358,강남구 논현1동
207,마포구 대흥동
219,마포구 서강동
0,종로구 사직동
20,중구 필동
340,서초구 서초2동
365,강남구 역삼2동
357,강남구 신사동
211,마포구 합정동
6,종로구 가회동
47,용산구 한남동
205,서대문구 연희동
41,용산구 이태원2동
15,종로구 청운효자동
26,중구 중림동
23,중구 을지로동
360,강남구 삼성1동
361,강남구 삼성2동
342,서초구 서초4동
46,용산구 한강로동
359,강남구 논현2동
376,강남구 청담동
33,용산구 용산2가동
27,중구 신당동
16,종로구 혜화동
220,마포구 공덕동
32,용산구 후암동
343,서초구 잠원동
84,동대문구 용신동
17,중구 소공동
218,마포구 도화동
215,마포구 성산1동
8,종로구 종로5·6가동
206,마포구 용강동
332,관악구 대학동
14,종로구 숭인2동
10,종로구 창신1동
287,영등포구 당산2동
300,영등포구 영등포동
